Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,death estimate,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users
Thailand,68863512,5640,Middle,21745,22491,32.7,12.3,74.4,3.5,7.6,2.3
The former Yugoslav Republic of Macedonia,2081206,4980,Middle,148,134,6.4,46.6,9.5,6.1,33.1,4.7
Timor-Leste,1268671,2180g,Middle,71,161,12.7,, , , , 
Togo,7606374,540,Low,514,2224,29.2,17.3,71.6, , ,11.1
Tonga,107122,4020,Middle,18,18,16.8,66.7,0,0,27.8,5.6
Trinidad and Tobago,1364962,15680,High,135,165,12.1,57.8,2.2,0.7,31.1,8.1
Tunisia,11403248,3690,Middle,1443,2595,22.8,49.3h,22.9,2.5,24.6,0.7
Turkey,79512424,11180,Middle,7300,9782,12.3,21.7,14.9,1.9,23.4,38
Turkmenistan,5662544,6670,Middle,543,823,14.5,, , , , 
Uganda,41487964,660,Low,3503,12036,29,21.3,33.4,5.8,39.5,0
Ukraine,44438624,2310,Middle,4687,6089,13.7,34,8.7,7.1,41.9,8.4
United Arab Emirates,9269612,40480,High,725,1678,18.1,54.5,5.5,1.5,24.3,14.2
United Kingdom,65788572,42390,High,1804,2019,3.1,46.2,20.5,5.5,23.7,4.1
United Republic of Tanzania,55572200,900,Low,3256,16252,29.2,38.5,22.7,8,29.9,0.8
United States of America,322179616,56180,High,35092,39888,12.4,63.9,14.2,2.3,15.3,4.2
Uruguay,3444006,15230,High,446,460,13.4,30.7,45.7,7,16.6,0
Uzbekistan,31446796,2220,Middle,2496,3617,11.5, , , , ,
Vanuatu,270402,3170g,Middle,9,43,15.9, , , , , 
Venezuela (Bolivarian Republic of),31568180,11760g,Middle,7028,10640,33.7, , , , ,
Viet Nam,94569072,2050,Middle,8417,24970,26.4, , , , , 
West Bank and Gaza Strip,4790705,3230,Middle,159,252,5.3,52.2,2.5,1.9,32.7,10.7
Zimbabwe,16150362,940,Low,1721,5601,34.7,26.7,10.2,12.2,13.7,37.2
